,APContact,BAddr1,BAddr2,BCity,BState,BZIPCode,Phone,Website,CustName,CustCode,CustCode_ID,PreviousModDate,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,LoadForCompany
129,,,,,,,623-522-0642,,Hector Heras,HECTOR HERAS,SCC_5027,,130,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
130,Jeff,P.O. Box 381,,Black Canyon City,AZ,85324,480-553-3941,,Grayleaf Studio| LLC,GRAYLEAF,SCC_5028,2023-05-22,131,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
131,,731 N 19th Ave,,Phoenix,AZ,85009,6022449166,,Smith pipe,WAYNE,SCC_5029,,132,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
132,Accounts Payable,3045 S. 7th St.,,Phoenix,AZ,85040,602-233-3339,,Buesing Corp,BUESING CORP,SCC_5030,2023-05-22,133,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
133,,,,,,,4803478848,,Cavco Pewter,SHADI KHODAD,SCC_5031,,134,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
134,Accounts Payable,3230 East Broadway Rd,,Phoenix,AZ,85040,480-240-9277,,SRE Environmental,SRE ENVIRON,SCC_5032,2023-05-22,135,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
135,Accounts Payable,P.O. Box 2539,,Globe,AZ,85502,928-425-2998,,5D Mining & Construction| Inc,5D MINING,SCC_5033,2023-05-22,136,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
136,Nigel Knoy,5430 side Rd,,Prescott,AZ,86301,928-777-0099,,Technology Construction,TCI,SCC_5034,,137,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
137,Stacy Brady,941 W 23rd St,,Tempe,AZ,85282,480-855-7494,,Summit Process Systems| LLC,SUMMIT P,SCC_5035,2023-05-22,138,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
138,,8137 N 83rd Ave,,Peoria,AZ,85345,602.723.6391,www.stellar-steel.com,Stellar Steel,STELLAR STEE,SCC_5036,2022-07-22,139,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
139,,,,,,,714-679-6461,,Accutite Fasteners Inc.,ACCUTITE,SCC_5037,,140,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
140,,164 S. Hamilton Place,,Gilbert,AZ,85233,480-668-0024,,American Precision Manufacturing Inc.,APMI,SCC_5038,,141,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
141,Matt Howard,620 W Commerce Ave,,Gilbet,AZ,85233,480-926-6062,,S & H Steel Co,S & H STEEL,SCC_5039,2023-05-22,142,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
142,Robin White,1422 South 21st Drive Dr,,Phoenix,AZ,85009,623-628-0308,,D & L Fabricating,D&L,SCC_5040,2023-05-22,143,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
143,,6527 W Northview Ave,,Glendale,AZ,85303,623-518-4285,,Diamond Iron LLC,DIAMOND IRON,SCC_5041,2023-05-22,144,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
144,Becky Hentschel,1505 Frontenac Rd.,,Naperville,IL,60563,804-798-2000,,InProduction,INPRODUCTIO,SCC_5042,2023-05-22,145,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
145,,3065 43rd Avenue,,Phoenix,,85009,602-352-2222,,US PIPE,CHRISTOPHER,SCC_5043,,146,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
146,Charles Gregg,3065 S. 43rd Ave,,Phoenix,AZ,85009,602-654-1360,,U.S. Pipe Fabrication,U.S. PIPE FA,SCC_5044,2023-05-22,147,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
147,,,,,,,480-229-0080,,Havana Shade,HAVANA SHADE,SCC_5045,,148,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
148,,,,,,,413 787 2223,,DENNIS GROUP,DENNIS GROUP,SCC_5046,,149,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
149,Accounts Payable,23724 N Central Ave,,Phoenix,AZ,85024,623.582.3900,,All Things Metal LLC,ALLTHINGS,SCC_5048,2023-05-22,150,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
150,,,,phoenix,,,6023164855,,AZDPS,AZDPS,SCC_5049,2022-12-28,151,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
151,Accounts Payable,4010 E Illinois St,,Tucson,AZ,85714,520-750-8719,,Smyth Industries| Inc.,SMYTH INDUST,SCC_5050,2023-05-22,152,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
152,,,,,,,731-267-6621,,city of surprise,SUPRISE,SCC_5051,,153,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
153,,,,,,,602-367-4454,,Morales Artistic Wrought Iron,MORALES ARTI,SCC_5052,,154,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
154,,,,,,,602-561-2023,,City of Phoenix,PHOENIX,SCC_5053,,155,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
155,Accounts Payable,3933 East La Salle Street,,Phoenix,AZ,85040,480-361-9137,,DNG Construction| LLC,DNG CONSTRUC,SCC_5054,2023-05-22,156,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
156,Ron Schneider,529 E Juanita Ave  6,,Mesa,AZ,85204,480-926-3831,,Aluma Line Inc,ALUMA-LINE,SCC_5055,2023-05-22,157,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
157,,3965 East Patrick Lane,,Las Vegas,NV,89139,858-672-7508,https://slurrymanagementsystems.com/,Slurry Management Systems,SLURRY MANAG,SCC_5057,2023-05-22,158,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
158,,,,,,,480-851-2681,,DFT FAB,DFT,SCC_5058,2023-03-24,159,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
159,,,,peoria,,,480-586-1406,,RICARDO SANCHEZ,PEC,SCC_5059,2023-05-08,160,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
160,Vaughn Bauer,912 N Airport Rd,,Cedar City,UT,84721,435-383-8769,,BZI Steel,BZI STEEL,SCC_5060,2023-05-22,161,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
161,Gloria Rios,2851 W Kathleen Rd,,Phoenix,AZ,85053,602-943-1511,,Varitec Solutions,VARITEC SOLU,SCC_5062,2023-05-22,162,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
